Titulo,ISBN,Autor,Sinopsis,Genero,Editorial,Numero de paginas,Serie,fecha de publicación
La metamorfosis,9788420651347,Franz Kafka,Un hombre despierta convertido en un monstruoso insecto.,Ficción,Alianza,128,No,1915-10-01
El alquimista,9788408130413,Paulo Coelho,Un pastor emprende un viaje para hallar su tesoro personal.,Fábula,Planeta,192,No,1988-01-01
Rayuela,9788439734062,Julio Cortázar,Una historia de amor y desamor que se puede leer en varios órdenes.,Clásico,Random House,600,No,1963-06-28
Pedro Páramo,9788437604183,Juan Rulfo,Un hombre viaja a Comala a buscar a su padre muerto.,Realismo Mágico,Cátedra,128,No,1955-07-18
La casa de los espíritus,9788466332859,Isabel Allende,El relato de cuatro generaciones de una familia chilena.,Realismo Mágico,Debolsillo,448,No,1982-01-01
Los pilares de la Tierra,9788401337314,Ken Follett,La construcción de una catedral medieval en el siglo XII.,Novela Histórica,Plaza & Janés,1040,Los pilares de la tierra,1989-09-01
El nombre de la rosa,9788466333016,Umberto Eco,Una serie de misteriosos asesinatos en una abadía benedictina.,Misterio,Debolsillo,784,No,1980-01-01
Ensayo sobre la ceguera,9788420442655,José Saramago,Una epidemia de ceguera blanca asola a toda una población.,Drama,Alfaguara,384,No,1995-01-01
La verdad sobre el caso Harry Quebert,9788420414034,Joël Dicker,Un escritor investiga la desaparición de una joven en 1975.,Thriller,Alfaguara,672,Marcus Goldman,2012-09-19
Los hombres que no amaban a las mujeres,9788423341016,Stieg Larsson,Un periodista y una hacker investigan una desaparición antigua.,Thriller,Destino,672,Millennium,2005-08-01
El Psicoanalista,9788413142272,John Katzenbach,Un terapeuta es amenazado de muerte por un psicópata del pasado.,Thriller,Ediciones B,528,El Psicoanalista,2002-01-01
Sapiens: De animales a dioses,9788499926223,Yuval Noah Harari,Una breve historia de la evolución de la humanidad.,Historia,Debate,496,No,2011-01-01
El diario de Ana Frank,9788497593069,Ana Frank,El testimonio real de una niña escondida durante el nazismo.,Biografía,Debolsillo,384,No,1947-06-25
Madame Bovary,9788415618416,Gustave Flaubert,Una mujer busca escapar del aburrimiento mediante el adulterio.,Clásico,Alba Editorial,496,No,1857-04-15
Ana Karenina,9788415618553,León Tolstói,Una trágica historia de amor y traición en la Rusia zarista.,Clásico,Alba Editorial,1008,No,1878-01-01
El retrato de Dorian Gray,9788467034172,Oscar Wilde,Un joven vende su alma para mantener la juventud eterna.,Clásico,Espasa,288,No,1990-06-20
Guerra y paz,9788415618607,León Tolstói,Las vidas de varias familias rusas durante las guerras napoleónicas.,Clásico,Alba Editorial,1200,No,1869-01-01
Las aventuras de Sherlock Holmes,9788491051565,Arthur Conan Doyle,Una colección de doce casos resueltos por el famoso detective.,Misterio,Debolsillo,368,Sherlock Holmes,1892-10-14
El silencio de los corderos,9788490626351,Thomas Harris,Una agente del FBI pide ayuda a un asesino caníbal preso.,Thriller,Debolsillo,416,Hannibal Lecter,1988-05-19
El resplandor de las luciérnagas,9788401343759,Paul Pen,Una familia vive encerrada en un sótano huyendo del exterior.,Thriller,Plaza & Janés,368,No,2013-05-09
Los miserables,9788491052678,Victor Hugo,Un exconvicto busca la redención en la Francia del siglo XIX.,Clásico,Debolsillo,1200,No,1862-04-03
Las crónicas de Narnia: El león la bruja y el armario,9788408062639,C.S. Lewis,Cuatro hermanos entran a un armario que lleva a un mundo mágico.,Fantasía,Destino,240,Las crónicas de Narnia,1950-10-16
Percy Jackson y el ladrón del rayo,9788498382365,Rick Riordan,Un joven descubre que es hijo del dios griego Poseidón.,Fantasía,Salamandra,288,Percy Jackson y los dioses del Olimpo,2005-06-28
Dune,9788497596824,Frank Herbert,Un joven noble lucha por el control de un codiciado planeta desértico.,Ciencia Ficción,Debolsillo,704,Dune,1965-08-01
Fundación,9788497593250,Isaac Asimov,Un científico predice la caída del imperio galáctico y crea un plan.,Ciencia Ficción,Debolsillo,256,Trilogía de la Fundación,1951-06-01
El conde de Montecristo,9788491051381,Alexandre Dumas,Un hombre busca venganza tras ser traicionado y encarcelado.,Aventuras,Debolsillo,1184,No,1844-08-28
Los tres mosqueteros,9788467035575,Alexandre Dumas,Un joven se une a tres guardias en misiones peligrosas.,Aventuras,Espasa,672,D'Artagnan,1844-03-01
La Odisea,9788424936457,Homero,El accidentado viaje de Ulises para regresar a su hogar tras la guerra.,Épico,Gredos,400,No,-800-01-01
La Ilíada,9788424936440,Homero,La furia de Aquiles durante el último año de la Guerra de Troya.,Épico,Gredos,500,No,-800-01-01
La divina comedia,9788420650982,Dante Alighieri,El viaje del autor a través del Infierno el Purgatorio y el Paraíso.,Poesía Épica,Alianza,600,No,1320-01-01
Cumbres borrascosas,9788415618195,Emily Brontë,La destructiva pasión amorosa entre Heathcliff y Catherine.,Clásico,Alba Editorial,416,No,1847-12-01
Moby Dick,9788491051510,Herman Melville,La obsesión de un capitán de barco por cazar una gran ballena blanca.,Aventuras,Debolsillo,736,No,1851-10-18
El retrato de una dama,9788415618645,Henry James,Una rica joven estadounidense enfrenta dilemas morales en Europa.,Clásico,Alba Editorial,672,No,1881-10-29
Dr. Jekyll y Mr. Hyde,9788420665481,Robert Louis Stevenson,Un médico crea una poción que libera su lado más perverso.,Misterio,Alianza,144,No,1886-01-05
La isla del tesoro,9788420665436,Robert Louis Stevenson,Un joven encuentra el mapa de la isla de un famoso pirata.,Aventuras,Alianza,256,No,1883-11-14
Las aventuras de Tom Sawyer,9788491051558,Mark Twain,Las travesuras de un niño que crece a orillas del río Misisipi.,Aventuras,Debolsillo,256,Tom Sawyer,1876-06-01
Las uvas de la ira,9788420684321,John Steinbeck,Una familia huye de la pobreza rural durante la Gran Depresión.,Drama,Alianza,544,No,1939-04-14
De ratones y hombres,9788439735465,John Steinbeck,Dos trabajadores buscan empleo durante la dura crisis estadounidense.,Drama,Random House,160,No,1937-02-06
El viejo y el mar,9788439735496,Ernest Hemingway,Un viejo pescador cubano lucha en alta mar contra un pez enorme.,Novela,Random House,128,No,1952-09-01
Por quién doblan las campanas,9788439736004,Ernest Hemingway,Un voluntario norteamericano lucha en la Guerra Civil Española.,Bélico,Random House,528,No,1940-10-21
El guardián entre el centeno,9788420651262,J.D. Salinger,Un adolescente reflexiona sobre la hipocresía del mundo adulto.,Ficción,Alianza,272,No,1951-07-16
Luz de agosto,9788439733027,William Faulkner,Varias historias marcadas por el racismo y la religión en el sur de EE. UU.,Drama,Random House,480,No,1932-10-06
Mientras agonizo,9788439733010,William Faulkner,Una familia viaja para enterrar el cuerpo de la matriarca.,Drama,Random House,240,No,1930-10-06
El extranjero,9788420666013,Albert Camus,Un hombre indiferente comete un crimen absurdo en Argelia.,Filosófico,Alianza,128,No,1942-05-19
La peste,9788420666020,Albert Camus,Una ciudad es aislada debido a un brote de peste bubónica.,Filosófico,Alianza,288,No,1947-06-10
La náusea,9788420633190,Jean-Paul Sartre,Un hombre siente un profundo malestar existencial ante la realidad.,Filosófico,Alianza,256,No,1938-04-01
Así habló Zaratustra,9788420633091,Friedrich Nietzsche,Un filósofo proclama la muerte de Dios y el superhombre.,Filosofía,Alianza,352,No,1883-01-01
El túnel,9788432248146,Ernesto Sabato,Un pintor confiesa el crimen de la mujer que amaba.,Psicológico,Seix Barral,160,No,1948-01-01
Sobre héroes y tumbas,9788432248153,Ernesto Sabato,Una compleja trama de amor decadencia y locura en Buenos Aires.,Novela,Seix Barral,528,No,1961-01-01
Ficciones,9788439734031,Jorge Luis Borges,Una genial antología de cuentos laberínticos y filosóficos.,Relatos,Random House,224,No,1944-01-01
El Aleph,9788439734048,Jorge Luis Borges,Cuentos fantásticos que exploran el infinito y la eternidad.,Relatos,Random House,208,No,1949-01-01
Lolita,9788433914484,Vladimir Nabokov,La obsesión de un hombre maduro por una chica de doce años.,Clásico,Anagrama,400,No,1955-09-15
Pálido fuego,9788433914750,Vladimir Nabokov,Un poema es comentado por un editor de manera extraña y obsesiva.,Ficción,Anagrama,320,No,1962-04-01
La tía Julia y el escribidor,9788420442389,Mario Vargas Llosa,Un joven romance se cruza con las historias de un guionista.,Novela,Alfaguara,448,No,1977-01-01
La ciudad y los perros,9788420442372,Mario Vargas Llosa,La brutal realidad de unos jóvenes en un colegio militar.,Novela,Alfaguara,464,No,1963-10-01
La fiesta del chivo,9788420442396,Mario Vargas Llosa,El reflejo de la dictadura de Trujillo en la República Dominicana.,Novela Histórica,Alfaguara,544,No,2000-03-01
Conversación en La Catedral,9788420442402,Mario Vargas Llosa,Un crudo análisis de la corrupción política bajo una dictadura.,Novela,Alfaguara,672,No,1969-01-01
La invención de Morel,9788420651156,Adolfo Bioy Casares,Un fugitivo llega a una isla donde suceden cosas extrañas.,Ciencia Ficción,Alianza,144,No,1940-01-01
Crónicas marcianas,9788445074213,Ray Bradbury,El accidentado proceso de colonización humana del planeta Marte.,Ciencia Ficción,Minotauro,256,No,1950-05-01
Neuromante,9788445073407,William Gibson,Un hacker caído en desgracia es reclutado para un último golpe.,Cyberpunk,Minotauro,304,Trilogía del Sprawl,1984-07-01
Snow Crash,9788496208575,Neal Stephenson,Un repartidor de pizza combate un virus informático en el Metaverso.,Cyberpunk,Gigamesh,480,No,1992-06-01
Ubik,9788445073933,Philip K. Dick,Una trama de viajes temporales poderes psíquicos y muerte ficticia.,Ciencia Ficción,Minotauro,240,No,1969-03-01
¿Sueñan los androides con ovejas eléctricas?,9788445073926,Philip K. Dick,Un cazador de recompensas debe retirar androides fugitivos.,Ciencia Ficción,Minotauro,224,No,1968-03-01
El hombre en el castillo,9788445075135,Philip K. Dick,Un mundo donde el Eje ganó la Segunda Guerra Mundial.,Ucronía,Minotauro,272,No,1962-10-01
La mano izquierda de la oscuridad,9788445071199,Ursula K. Le Guin,Un enviado humano intenta unir un planeta alienígena sin género.,Ciencia Ficción,Minotauro,320,Ekumen,1969-03-01
Los desposeídos,9788445073742,Ursula K. Le Guin,Un físico viaja entre dos mundos con sistemas políticos opuestos.,Ciencia Ficción,Minotauro,384,Ekumen,1974-05-01
Un mago de Terramar,9788445075678,Ursula K. Le Guin,Un joven aprendiz de mago libera por error una sombra malvada.,Fantasía,Minotauro,240,Historias de Terramar,1968-11-01
El nombre del viento,9788401337208,Patrick Rothfuss,Un hombre legendario narra su juventud y formación mágica.,Fantasía,Plaza & Janés,880,Crónica del Asesino de Reyes,2007-03-27
El temor de un hombre sabio,9788401339639,Patrick Rothfuss,La continuación de las peripecias de Kvothe buscando los Chandrian.,Fantasía,Plaza & Janés,1200,Crónica del Asesino de Reyes,2011-03-01
Canción de hielo y fuego: Juego de tronos,9788496208698,George R.R. Martin,Nobles casas luchan encarnizadamente por el Trono de Hierro.,Fantasía,Gigamesh,800,Canción de hielo y fuego,1996-08-01
Choque de reyes,9788496208742,George R.R. Martin,La guerra civil asola los Siete Reinos tras la muerte del rey.,Fantasía,Gigamesh,928,Canción de hielo y fuego,1998-11-16
Tormenta de espadas,9788496208964,George R.R. Martin,La guerra dinástica llega a un punto sangriento e inesperado.,Fantasía,Gigamesh,1200,Canción de hielo y fuego,2000-08-08
Festín de cuervos,9788493470913,George R.R. Martin,Poniente intenta reconstruirse en medio de conspiraciones y traición.,Fantasía,Gigamesh,864,Canción de hielo y fuego,2005-10-17
Danza de dragones,9788496208971,George R.R. Martin,Nuevas amenazas surgen mientras se forjan alianzas desesperadas.,Fantasía,Gigamesh,1136,Canción de hielo y fuego,2011-07-12
Gorky Park,9788490626344,Martin Cruz Smith,Un detective moscovita investiga un triple crimen en una pista de hielo.,Misterio,Debolsillo,448,Arkady Renko,1981-02-01
El espía que surgió del frío,9788408163459,John le Carré,Un agente británico acepta una última y peligrosa misión en Berlín.,Espionaje,Planeta,256,George Smiley,1963-09-01
El topo,9788408163466,John le Carré,George Smiley busca un infiltrado soviético en el servicio secreto.,Espionaje,Planeta,416,George Smiley,1974-06-01
El sastre de Panamá,9788422665892,John le Carré,Un sastre inventa falsos secretos que provocan una crisis política.,Espionaje,Debolsillo,464,No,1996-01-01
La caza del Octubre Rojo,9788490627716,Tom Clancy,Un capitán soviético intenta desertar con un submarino nuclear.,Thriller,Debolsillo,544,Jack Ryan,1984-10-01
Peligro inminente,9788422634034,Tom Clancy,Jack Ryan combate el narcotráfico en una operación encubierta.,Thriller,Debolsillo,656,Jack Ryan,1989-08-01
El padrino,9788466332156,Mario Puzo,La historia de la poderosa familia mafiosa de los Corleone.,Crimen,Debolsillo,480,El Padrino,1969-03-10
El siciliano,9788490628324,Mario Puzo,La vida de un bandolero en Sicilia que desafía a la mafia.,Crimen,Debolsillo,416,El Padrino,1984-11-01
Gomorra,9788499890470,Roberto Saviano,Una detallada investigación sobre el imperio criminal de la Camorra.,No Ficción,Debolsillo,384,No,2006-01-01
In cold blood,9788433975317,Truman Capote,El relato real sobre el brutal asesinato de una familia en Kansas.,Crónica,Anagrama,440,No,1966-01-01
Desayuno en Tiffany's,9788433920157,Truman Capote,La amistad entre una joven extravagante y un escritor principiante.,Ficción,Anagrama,160,No,1958-10-28
Tokio blues,9788483835425,Haruki Murakami,El nostálgico recuerdo de un romance juvenil en el Tokio de los 60.,Drama,Tusquets,384,No,1987-09-04
Kafka en la orilla,9788483103449,Haruki Murakami,Un joven huye de casa mientras un anciano habla con los gatos.,Realismo Mágico,Tusquets,592,No,2002-09-12
Crónica del pájaro que da cuerda al mundo,9788483102121,Haruki Murakami,Un hombre busca a su gato y termina descubriendo secretos oscuros.,Novela,Tusquets,688,No,1994-04-12
1Q84,9788483833445,Haruki Murakami,Una mujer entra en una realidad distópica con dos lunas.,Ficción,Tusquets,1024,1Q84,2009-05-29
El mapa y el territorio,9788433975737,Michel Houellebecq,Un artista reflexiona sobre el arte el dinero y las relaciones.,Sátira,Anagrama,384,No,2010-09-04
Sumisión,9788433979223,Michel Houellebecq,Un futuro cercano donde un partido islámico gobierna en Francia.,Político,Anagrama,288,No,2015-01-07
Las partículas elementales,9788433969859,Michel Houellebecq,La historia de dos medio hermanos con vidas emocionales rotas.,Ficción,Anagrama,320,No,1998-08-27
American Psycho,9788497931328,Bret Easton Ellis,Un exitoso y superficial yuppie oculta su vida de asesino en serie.,Terror,Debolsillo,400,No,1991-03-06
Menos que cero,9788433920362,Bret Easton Ellis,El retrato de jóvenes ricos y apáticos en Los Ángeles de los 80.,Ficción,Anagrama,208,No,1985-05-01
Fight Club,9788490626337,Chuck Palahniuk,Un insomne descontento funda un club secreto de peleas clandestinas.,Sátira,Debolsillo,224,No,1996-08-17
Asfixia,9788497932646,Chuck Palahniuk,Un estafador finge atragantarse en restaurantes para ganar dinero.,Sátira,Debolsillo,304,No,2001-05-22
Trainspotting,9788433974440,Irvine Welsh,Las salvajes vivencias de un grupo de adictos a la heroína en Edimburgo.,Realismo Sucio,Anagrama,352,Trainspotting,1993-01-01
Porno,9788433971432,Irvine Welsh,Los personajes de Trainspotting se reencuentran en la industria porno.,Realismo Sucio,Anagrama,496,Trainspotting,2002-09-03
Post oficina,9788433920041,Charles Bukowski,Las monótonas aventuras de Henry Chinaski trabajando en correos.,Realismo Sucio,Anagrama,192,Henry Chinaski,1971-02-01
Mujeres,9788433914354,Charles Bukowski,Un escritor ya maduro relata sus excesos sexuales y el alcoholismo.,Realismo Sucio,Anagrama,304,Henry Chinaski,1978-01-01
Factotum,9788433914286,Charles Bukowski,Chinaski salta de un empleo miserable a otro para poder escribir.,Realismo Sucio,Anagrama,168,Henry Chinaski,1975-01-01
En el camino,9788433920485,Jack Kerouac,Un viaje desenfrenado por las carreteras de Estados Unidos.,Generación Beat,Anagrama,336,No,1957-09-05
Aullido,9788433979452,Allen Ginsberg,Un icónico poema que critica la alienación social americana.,Poesía,Anagrama,120,No,1956-11-01
El almuerzo desnudo,9788433920317,William S. Burroughs,Un viaje surrealista a través de la adicción y la paranoia.,Generación Beat,Anagrama,288,No,1959-01-01
El infinito en un junco,9788417860110,Irene Vallejo,Un ensayo apasionado sobre la fascinante invención de los libros.,Ensayo,Siruela,452,No,2019-09-01
Patria,9788490663196,Fernando Aramburu,El impacto del terrorismo de ETA en dos familias de un pueblo.,Drama,Tusquets,646,No,2016-09-06
Línea de fuego,9788420454726,Arturo Pérez-Reverte,Un crudo relato sobre la batalla del Ebro en la guerra civil.,Novela Histórica,Alfaguara,688,No,2020-10-06
El capitán Alatriste,9788420482279,Arturo Pérez-Reverte,Las andanzas de un soldado veterano en el Madrid del Siglo de Oro.,Aventuras,Alfaguara,248,Las aventuras del capitán Alatriste,1996-11-01
La carta esférica,9788420441863,Arturo Pérez-Reverte,Un marino sin barco busca los restos de un navío hundido.,Misterio,Alfaguara,496,No,2000-01-01
La reina del sur,9788420464688,Arturo Pérez-Reverte,Una humilde joven mexicana se convierte en líder del narcotráfico.,Thriller,Alfaguara,544,No,2002-03-01
La tabla de Flandes,9788420442761,Arturo Pérez-Reverte,Un secreto oculto en una pintura medieval desata misteriosos crímenes.,Misterio,Alfaguara,416,No,1990-01-01
El club Dumas,9788420442754,Arturo Pérez-Reverte,Un buscador de libros raros investiga un manual para invocar al diablo.,Misterio,Alfaguara,472,No,1993-01-01
Los santos inocentes,9788432215353,Miguel Delibes,La dura opresión de una familia campesina bajo los terratenientes.,Drama,Seix Barral,176,No,1981-01-01
El camino,9788423351237,Miguel Delibes,Un niño recuerda su vida en el pueblo antes de partir a estudiar.,Novela,Destino,224,No,1950-01-01
Cinco horas con Mario,9788423351244,Miguel Delibes,El monólogo interior de una viuda vela el cuerpo de su esposo.,Drama,Destino,288,No,1966-01-01
La colmena,9788423351220,Camilo José Cela,Un mosaico de vidas en el Madrid de la posguerra española.,Clásico,Destino,352,No,1951-01-01
La familia de Pascual Duarte,9788423351213,Camilo José Cela,Un campesino extremeño relata sus crímenes desde la cárcel.,Tremendismo,Destino,192,No,1942-01-01
La templanza,9788408138136,María Dueñas,Un indiano arruinado busca una segunda oportunidad en Jerez.,Drama,Planeta,544,No,2015-03-10
El tiempo entre costuras,9788408086338,María Dueñas,Una joven modista se muda a Marruecos y acaba siendo espía.,Histórica,Planeta,640,No,2009-06-09
El imperio eres tú,9788408107408,Javier Moro,La biografía novelada de Pedro I el primer emperador de Brasil.,Novela Histórica,Planeta,560,No,2011-10-26
Pasión india,9788401343513,Javier Moro,La fabulosa historia de la española que se casó con un maharajá.,Biografía,Plaza & Janés,464,No,2005-01-01
Dime quién soy,9788401337512,Julia Navarro,Un viaje por la historia del siglo XX tras los pasos de una espía.,Novela Histórica,Plaza & Janés,1104,No,2010-03-15
Dispara yo ya estoy muerto,9788401341779,Julia Navarro,La compleja convivencia entre dos familias en Palestina e Israel.,Novela Histórica,Plaza & Janés,912,No,2013-09-03
La sangre de los inocentes,9788401336331,Julia Navarro,Un relato que une la persecución cátara con el integrismo actual.,Thriller,Plaza & Janés,752,No,2007-03-01
Los pilares de la Tierra,9788401352423,Ken Follett,Un constructor intenta levantar una catedral en la Inglaterra medieval.,Novela Histórica,Plaza & Janés,1040,Kingsbridge,1989-09-08
Un mundo sin fin,9788401336560,Ken Follett,Dos siglos después las vidas cambian en la misma ciudad medieval.,Novela Histórica,Plaza & Janés,1184,Kingsbridge,2007-10-01
Una columna de fuego,9788401019159,Ken Follett,La lucha por el trono entre protestantes y católicos con espías.,Novela Histórica,Plaza & Janés,936,Kingsbridge,2017-09-12
La caída de los gigantes,9788401337499,Ken Follett,Cinco familias viven las tensiones de la Primera Guerra Mundial.,Novela Histórica,Plaza & Janés,1024,The Century,2010-09-28
El invierno del mundo,9788401339318,Ken Follett,La siguiente generación enfrenta el auge nazi y la guerra mundial.,Novela Histórica,Plaza & Janés,960,The Century,2012-09-18
El umbral de la eternidad,9788401342196,Ken Follett,El fin de la trilogía durante la tensión de la Guerra Fría.,Novela Histórica,Plaza & Janés,1152,The Century,2014-09-16
Harry Potter y la cámara secreta,9788418173011,J.K. Rowling,Harry regresa a Hogwarts mientras un monstruo petrifica alumnos.,Fantasía,Salamandra,288,Harry Potter,1998-07-02
Harry Potter y el prisionero de Azkaban,9788418173028,J.K. Rowling,Un peligroso asesino escapa de prisión buscando al joven mago.,Fantasía,Salamandra,360,Harry Potter,1999-07-08
Harry Potter y el cáliz de fuego,9788418173035,J.K. Rowling,Harry es seleccionado para un peligroso torneo entre escuelas.,Fantasía,Salamandra,672,Harry Potter,2000-07-08
Harry Potter y la Orden del Fénix,9788418173042,J.K. Rowling,Los magos se organizan en secreto ante el regreso del villano.,Fantasía,Salamandra,896,Harry Potter,2003-06-21
Harry Potter y el misterio del príncipe,9788418173059,J.K. Rowling,Harry descubre los oscuros orígenes de Lord Voldemort.,Fantasía,Salamandra,608,Harry Potter,2005-07-16
Harry Potter y las Reliquias de la Muerte,9788418173066,J.K. Rowling,La batalla definitiva por el destino del mundo mágico.,Fantasía,Salamandra,704,Harry Potter,2007-07-21
El resplandor,9788490328729,Stephen King,Un escritor desciende a la locura cuidando un hotel aislado.,Terror,Debolsillo,688,No,1977-01-28
It,9788497931052,Stephen King,Un grupo de amigos enfrenta a una entidad que toma forma de payaso.,Terror,Debolsillo,1504,No,1986-09-15
Misery,9788490328736,Stephen King,Un novelista es secuestrado por una fanática perturbada.,Terror,Debolsillo,352,No,1987-06-08
Carrie,9788490321447,Stephen King,Una tímida joven usa telequinesis para vengarse de sus acosadores.,Terror,Debolsillo,256,No,1974-04-05
La milla verde,9788490328743,Stephen King,Los milagros suceden en el pasillo de la muerte de una prisión.,Drama,Debolsillo,448,No,1996-08-29
El misterio de Salem's Lot,9788490321744,Stephen King,Un escritor descubre que los vampiros invaden su pueblo natal.,Terror,Debolsillo,544,No,1975-10-17
En el blanco,9788490623329,Ken Follett,Un virus letal es robado de unos laboratorios en plena Navidad.,Thriller,Debolsillo,432,No,2004-01-01
Crónica del rey pasmado,9788439735410,Gonzalo Torrente Ballester,Divertida sátira sobre los deseos íntimos de un joven monarca.,Sátira,Random House,224,No,1989-01-01
Los gozos y las sombras,9788420412153,Gonzalo Torrente Ballester,La dura transformación social de una villa gallega antes de la guerra.,Novela,Alfaguara,944,Los gozos y las sombras,1957-01-01
El testamento de Sherlock Holmes,9788491051572,Arthur Conan Doyle,El célebre detective enfrenta acusaciones falsas contra su persona.,Misterio,Debolsillo,288,Sherlock Holmes,1893-12-01
El sabueso de los Baskerville,9788420665474,Arthur Conan Doyle,Holmes investiga una maldición familiar ligada a un perro espectral.,Misterio,Alianza,240,Sherlock Holmes,1902-04-01
Estudio en escarlata,9788420665450,Arthur Conan Doyle,La primera aventura donde se conocen Watson y Sherlock Holmes.,Misterio,Alianza,192,Sherlock Holmes,1887-11-01
El signo de los cuatro,9788420665467,Arthur Conan Doyle,Un misterio que involucra tesoros robados y promesas rotas.,Misterio,Alianza,176,Sherlock Holmes,1890-02-01
Las aventuras de Huckleberry Finn,9788491051541,Mark Twain,Un joven y un esclavo fugitivo viajan bajando el Misisipi.,Aventuras,Debolsillo,384,Tom Sawyer,1884-12-10
Un yanki en la corte del rey Arturo,9788420665511,Mark Twain,Un hombre del siglo XIX viaja en el tiempo a la Inglaterra medieval.,Sátira,Alianza,416,No,1889-12-10
El príncipe y el mendigo,9788467035599,Mark Twain,Dos niños idénticos de clases opuestas intercambian sus vidas.,Aventuras,Espasa,288,No,1881-12-01
Grandes esperanzas,9788415618751,Charles Dickens,Un huérfano asciende socialmente gracias a un benefactor secreto.,Clásico,Alba Editorial,608,No,1861-08-01
Oliver Twist,9788415618164,Charles Dickens,Las desventuras de un niño huérfano en los bajos fondos de Londres.,Clásico,Alba Editorial,544,No,1838-11-01
Historia de dos ciudades,9788491051404,Charles Dickens,Un emotivo relato cruzado entre Londres y el París revolucionario.,Clásico,Debolsillo,448,No,1859-11-26
Canción de Navidad,9788420665412,Charles Dickens,Un viejo avaro es visitado por tres espíritus navideños.,Fábula,Alianza,144,No,1843-12-19
David Copperfield,9788415618621,Charles Dickens,El accidentado paso de la infancia a la madurez de su protagonista.,Clásico,Alba Editorial,928,No,1850-11-01
Jane Eyre,9788415618423,Charlotte Brontë,Una institutriz se enamora de su misterioso patrón en una mansión.,Clásico,Alba Editorial,600,No,1847-10-16
El profesor,9788416011421,Charlotte Brontë,Un joven maestro busca abrirse camino y hallar amor en Bruselas.,Clásico,Alba Editorial,320,No,1857-01-01
